id_anssi,type_bulletin,titre,date_publication,lien,nb_cve,cve_id,annee,cvss_score,cvss_severity,cvss_version,cwe_id,cwe_desc,description,vendor,product,versions,epss_score,epss_percentile,source,criticite,risque_combine
CERTFR-2026-AVI-0099,Avis,Multiples vulnérabilités dans SolarWinds Web Help Desk,2026-01-28,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0099/,6,CVE-2025-40551,2026,9.8,CRITICAL,cvssV3_1,CWE-502,CWE-502 Deserialization of Untrusted Data,"SolarWinds Web Help Desk was found to be susceptible to an untrusted data deserialization vulnerability that could lead to remote code execution, which would allow an attacker to run commands on the host machine. This could be exploited without authentication.",SolarWinds,Web Help Desk,12.8.8 HF1 and below,0.87872,0.99493,zip,Critique,8.611456
CERTFR-2024-AVI-1069,Avis,Multiples vulnérabilités dans Microsoft Windows,2024-12-11,https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1069/,59,CVE-2024-49112,2024,9.8,CRITICAL,cvssV3_1,CWE-190,CWE-190: Integer Overflow or Wraparound,Windows Lightweight Directory Access Protocol (LDAP) Remote Code Execution Vulnerability,Microsoft,Windows 10 Version 1809,10.0.17763.0,0.87774,0.99445,zip,Critique,8.601852000000001
CERTFR-2024-AVI-0500,Avis,Multiples vulnérabilités dans Elastic Kibana,2024-06-17,https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-0500/,4,CVE-2024-3094,2024,10.0,CRITICAL,cvssV3_1,CWE-506,Embedded Malicious Code,"Malicious code was discovered in the upstream tarballs of xz, starting with version 5.6.0. 
Through a series of complex obfuscations, the liblzma build process extracts a prebuilt object file from a disguised test file existing in the source code, which is then used to modify specific functions in the liblzma code. This results in a modified liblzma library that can be used by any software linked against this library, intercepting and modifying the data interaction with this library.",,,"5.6.0, 5.6.1",0.85995,0.99365,zip,Critique,8.599499999999999
CERTFR-2024-ALE-001,Alerte,[MàJ] Multiples vulnérabilités dans Ivanti Connect Secure et Policy Secure Gateways,2024-01-11,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-001/,5,CVE-2024-21887,2024,9.1,CRITICAL,cvssV3_0,,,"A command injection vulnerability in web components of Ivanti Connect Secure (9.x, 22.x) and Ivanti Policy Secure (9.x, 22.x)  allows an authenticated administrator to send specially crafted requests and execute arbitrary commands on the appliance.",Ivanti,ICS,"9.1R18, 22.6R2",0.94412,0.99977,zip,Critique,8.591491999999999
CERTFR-2021-ALE-004,Alerte,[MàJ] Multiples vulnérabilités dans Microsoft Exchange Server,2021-03-03,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2021-ALE-004/,7,CVE-2021-26855,2021,9.1,CRITICAL,cvssV3_1,,Remote Code Execution,Microsoft Exchange Server Remote Code Execution Vulnerability,Microsoft,Microsoft Exchange Server 2016 Cumulative Update 19,15.01.0,0.94351,0.99955,zip,Critique,8.585941
CERTFR-2024-AVI-0714,Avis,Vulnérabilité dans SolarWinds Web Help Desk,2024-08-23,https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-0714/,1,CVE-2024-28987,2024,9.1,CRITICAL,cvssV3_1,CWE-798,CWE-798 Use of Hard-coded Credentials,"The SolarWinds Web Help Desk (WHD) software is affected by a hardcoded credential vulnerability, allowing remote unauthenticated user to access internal functionality and modify data.",SolarWinds,Web Help Desk,12.8.3 Hotfix 1 and previous versions,0.9429,0.99935,zip,Critique,8.58039
CERTFR-2021-ALE-017,Alerte,Multiples vulnérabilités dans Microsoft Exchange,2021-08-27,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2021-ALE-017/,3,CVE-2021-34473,2021,9.1,CRITICAL,cvssV3_1,,Remote Code Execution,Microsoft Exchange Server Remote Code Execution Vulnerability,Microsoft,Microsoft Exchange Server 2013 Cumulative Update 23,15.00.0,0.9423,0.99921,zip,Critique,8.57493
CERTFR-2023-AVI-0597,Avis,Multiples vulnérabilités dans IBM Cognos Analytics,2023-07-28,https://www.cert.ssi.gouv.fr/avis/CERTFR-2023-AVI-0597/,20,CVE-2022-36067,2023,10.0,CRITICAL,cvssV3_1,CWE-913,CWE-913: Improper Control of Dynamically-Managed Code Resources,"vm2 is a sandbox that can run untrusted code with whitelisted Node's built-in modules. In versions prior to version 3.9.11, a threat actor can bypass the sandbox protections to gain remote code execution rights on the host running the sandbox. This vulnerability was patched in the release of version 3.9.11 of vm2. There are no known workarounds.",patriksimek,vm2,< 3.9.11,0.85411,0.99333,zip,Critique,8.5411
CERTFR-2024-AVI-0557,Avis,Multiples vulnérabilités dans Microsoft Windows,2024-07-10,https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-0557/,87,CVE-2024-38077,2024,9.8,CRITICAL,cvssV3_1,CWE-122,CWE-122: Heap-based Buffer Overflow,Windows Remote Desktop Licensing Service Remote Code Execution Vulnerability,Microsoft,Windows Server 2019,10.0.17763.0,0.87069,0.99416,zip,Critique,8.532762
CERTFR-2023-AVI-0227,Avis,Multiples vulnérabilités dans les produits Adobe,2023-03-15,https://www.cert.ssi.gouv.fr/avis/CERTFR-2023-AVI-0227/,7,CVE-2023-26359,2023,9.8,CRITICAL,cvssV3_1,CWE-502,Deserialization of Untrusted Data (CWE-502),Adobe ColdFusion versions 2018 Update 15 (and earlier) and 2021 Update 5 (and earlier) are affected by a Deserialization of Untrusted Data vulnerability that could result in arbitrary code execution in the context of the current user. Exploitation of this issue does not require user interaction.,Adobe,ColdFusion,"unspecified, unspecified",0.86789,0.99401,zip,Critique,8.505322000000001
CERTFR-2021-ALE-015,Alerte,Multiples vulnérabilités dans SolarWinds Serv-U,2021-07-13,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2021-ALE-015/,1,CVE-2021-35211,2021,9.0,CRITICAL,cvssV3_1,,Memory Escape Vulnerability in Solarwinds Serv-U,"Microsoft discovered a remote code execution (RCE) vulnerability in the SolarWinds Serv-U product utilizing a Remote Memory Escape Vulnerability. If exploited, a threat actor may be able to gain privileged access to the machine hosting Serv-U Only. SolarWinds Serv-U Managed File Transfer and Serv-U Secure FTP for Windows before 15.2.3 HF2 are affected by this vulnerability.",SolarWinds,Serv-U Managed File Transfer Server and Serv-U Secured FTP,SolarWinds Serv-U,0.94321,0.99946,zip,Critique,8.48889
CERTFR-2025-ALE-001,Alerte,[MàJ] Vulnérabilité dans les produits Ivanti,2025-01-09,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2025-ALE-001/,2,CVE-2025-0282,2025,9.0,CRITICAL,cvssV3_1,CWE-121,CWE-121: Stack-based Buffer Overflow,"A stack-based buffer overflow in Ivanti Connect Secure before version 22.7R2.5, Ivanti Policy Secure before version 22.7R1.2, and Ivanti Neurons for ZTA gateways before version 22.7R2.3 allows a remote unauthenticated attacker to achieve remote code execution.",Ivanti,Connect Secure,22.7R2,0.94129,0.99916,zip,Critique,8.47161
CERTFR-2024-AVI-0567,Avis,Multiples vulnérabilités dans les produits Palo Alto Networks,2024-07-11,https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-0567/,5,CVE-2024-5910,2024,9.3,CRITICAL,cvssV4_0,CWE-306,CWE-306 Missing Authentication for Critical Function,"Missing authentication for a critical function in Palo Alto Networks Expedition can lead to an Expedition admin account takeover for attackers with network access to Expedition.

Note: Expedition is a tool aiding in configuration migration, tuning, and enrichment. Configuration secrets, credentials, and other data imported into Expedition is at risk due to this issue.",Palo Alto Networks,Expedition,1.2,0.91029,0.99618,zip,Critique,8.465697
CERTFR-2021-ALE-017,Alerte,Multiples vulnérabilités dans Microsoft Exchange,2021-08-27,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2021-ALE-017/,3,CVE-2021-34523,2021,9.0,CRITICAL,cvssV3_1,,Elevation of Privilege,Microsoft Exchange Server Elevation of Privilege Vulnerability,Microsoft,Microsoft Exchange Server 2013 Cumulative Update 23,15.00.0,0.93998,0.99885,zip,Critique,8.45982
CERTFR-2024-AVI-0563,Avis,Multiples vulnérabilités dans les produits Citrix,2024-07-10,https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-0563/,9,CVE-2024-6235,2024,9.4,CRITICAL,cvssV4_0,,,Sensitive information disclosure in NetScaler Console,NetScaler,NetScaler Console,14.1,0.89928,0.99554,zip,Critique,8.453232
CERTFR-2025-AVI-0337,Avis,Multiples vulnérabilités dans les produits IBM,2025-04-18,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0337/,69,CVE-2025-1302,2025,9.8,CRITICAL,cvssV3_1,CWE-94,Remote Code Execution (RCE),"Versions of the package jsonpath-plus before 10.3.0 are vulnerable to Remote Code Execution (RCE) due to improper input sanitization. An attacker can execute aribitrary code on the system by exploiting the unsafe default usage of eval='safe' mode.**Note:**This is caused by an incomplete fix for [CVE-2024-21534](https://security.snyk.io/vuln/SNYK-JS-JSONPATHPLUS-7945884).",,jsonpath-plus,0,0.85805,0.99352,zip,Critique,8.40889
CERTFR-2022-ALE-007,Alerte,Multiples vulnérabilités dans Microsoft Windows,2022-09-16,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2022-ALE-007/,3,CVE-2022-34718,2022,9.8,CRITICAL,cvssV3_1,,Remote Code Execution,Windows TCP/IP Remote Code Execution Vulnerability,Microsoft,Windows 10 Version 1809,10.0.17763.0,0.85781,0.99349,zip,Critique,8.406538
CERTFR-2025-AVI-1014,Avis,Vulnérabilité dans Fortinet FortiWeb,2025-11-14,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-1014/,1,CVE-2025-64446,2025,9.4,CRITICAL,cvssV3_1,CWE-23,Escalation of privilege,"A relative path traversal vulnerability in Fortinet FortiWeb 8.0.0 through 8.0.1, FortiWeb 7.6.0 through 7.6.4, FortiWeb 7.4.0 through 7.4.9, FortiWeb 7.2.0 through 7.2.11, FortiWeb 7.0.0 through 7.0.11 may allow an attacker to execute administrative commands on the system via crafted HTTP or HTTPS requests.",Fortinet,FortiWeb,"8.0.0, 7.6.0, 7.4.0, 7.2.0, 7.0.0",0.89428,0.99528,zip,Critique,8.406232
CERTFR-2026-AVI-0594,Avis,Multiples vulnérabilités dans les produits Cisco,2026-05-15,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0594/,4,CVE-2026-20182,2026,10.0,CRITICAL,cvssV3_1,CWE-287,Improper Authentication,"May 2026: This security advisory provides the details and fix information for a vulnerability that was discovered and fixed after the  was disclosed in February 2026. This new advisory is for a new vulnerability in the control connection handshaking. The  section of this advisory includes Show Control Connections guidance to help with system checks.&nbsp;

A vulnerability in the peering authentication in Cisco Catalyst SD-WAN Controller, formerly SD-WAN vSmart, and Cisco Catalyst SD-WAN Manager, formerly SD-WAN vManage, could allow an unauthenticated, remote attacker to bypass authentication and obtain administrative privileges on an affected system.
This vulnerability exists because the peering authentication mechanism in an affected system is not working properly. An attacker could exploit this vulnerability by sending crafted requests to the affected system. A successful exploit could allow the attacker to log in to an affected Cisco Catalyst SD-WAN Controller as an internal, high-privileged, non-root user account. Using this account, the attacker could access NETCONF, which would then allow the attacker to manipulate network configuration for the SD-WAN fabric.",Cisco,Cisco Catalyst SD-WAN Manager,"20.1.12, 19.2.1, 18.4.4, 18.4.5, 20.1.1.1",0.83838,0.99313,zip,Critique,8.3838
CERTFR-2025-AVI-0760,Avis,Multiples vulnérabilités dans les produits IBM,2025-09-05,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0760/,134,CVE-2025-29927,2025,9.1,CRITICAL,cvssV3_1,CWE-285,CWE-285: Improper Authorization,"Next.js is a React framework for building full-stack web applications. Starting in version 1.11.4 and prior to versions 12.3.5, 13.5.9, 14.2.25, and 15.2.3, it is possible to bypass authorization checks within a Next.js application, if the authorization check occurs in middleware. If patching to a safe version is infeasible, it is recommend that you prevent external user requests which contain the x-middleware-subrequest header from reaching your Next.js application. This vulnerability is fixed in 12.3.5, 13.5.9, 14.2.25, and 15.2.3.",vercel,next.js,">= 11.1.4, < 12.3.5, >= 14.0.0, < 14.2.25, >= 15.0.0, < 15.2.3, >= 13.0.0, < 13.5.9",0.92118,0.99724,zip,Critique,8.382738
CERTFR-2026-AVI-0337,Avis,Multiples vulnérabilités dans les produits Citrix,2026-03-23,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0337/,2,CVE-2026-3055,2026,9.3,CRITICAL,cvssV4_0,CWE-125,CWE-125 Out-of-bounds Read,Insufficient input validation in NetScaler ADC and NetScaler Gateway when configured as a SAML IDP leading to memory overread,NetScaler,ADC,"14.1, 13.1, 13.1 FIPS and NDcPP",0.89915,0.99595,zip,Critique,8.362095
CERTFR-2024-AVI-1066,Avis,Vulnérabilité dans Apache Struts,2024-12-11,https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1066/,1,CVE-2024-53677,2024,9.5,CRITICAL,cvssV4_0,,File upload logic is flawed,"File upload logic in Apache Struts is flawed. An attacker can manipulate file upload params to enable paths traversal and under some circumstances this can lead to uploading a malicious file which can be used to perform Remote Code Execution.

This issue affects Apache Struts: from 2.0.0 before 6.4.0.

Users are recommended to upgrade to version 6.4.0 at least and migrate to the new  file upload mechanism https://struts.apache.org/core-developers/file-upload . If you are not using an old file upload logic based on FileuploadInterceptor your application is safe.

You can find more details in  https://cwiki.apache.org/confluence/display/WW/S2-067",Apache Software Foundation,Apache Struts,2.0.0,0.87849,0.99451,zip,Critique,8.345655
